text_aktivitas,kategori,tingkat_aktivitas
Saya menjaga kesehatan dengan melakukan aktivitas fisik yang rutin seperti mengikuti kelas yoga.,Health,Ringan
Saya berusaha menjaga berat badan yang ideal dengan minum air putih yang cukup.,Health,Menengah
Saya berusaha menjaga keseimbangan tubuh dengan melakukan makan makanan sehat dan bergizi.,Health,Menengah
Saya menjaga kesehatan tubuh dengan rutin melakukan makan makanan sehat dan bergizi.,Health,Menengah
"Saya memilih aktivitas yang mendukung kesehatan tubuh, seperti menerapkan pola makan dengan porsi kecil namun sering.",Health,Berat
"Saya memilih aktivitas yang mendukung kesehatan tubuh, seperti mengikuti kelas yoga.",Health,Ringan
Saya berusaha menjaga pola makan sehat dengan berjalan kaki setelah makan.,Health,Ringan
Saya berusaha menjaga kebugaran dengan kegiatan menghindari konsumsi makanan yang mengandung banyak gula.,Health,Berat
Saya berusaha menjaga pola hidup sehat dengan melakukan berenang di kolam renang secara konsisten.,Health,Ringan
Saya menjaga pola hidup sehat dengan melakukan menjaga pola tidur dengan tidur pada waktu yang sama setiap malam secara teratur.,Health,Ringan
Saya mengikuti pola hidup sehat dengan melakukan berjalan kaki setiap pagi setiap hari.,Health,Ringan
Saya selalu memastikan untuk tidur cukup dengan mengikuti kelas yoga.,Health,Ringan
Saya berusaha mengurangi stres dengan mengikuti kelas yoga.,Health,Menengah
Saya menjaga kesehatan dengan melakukan aktivitas fisik yang rutin seperti berenang di kolam renang.,Health,Berat
Saya selalu memastikan untuk tidur cukup dengan minum air putih yang cukup.,Health,Menengah
Saya berusaha menjaga pola makan sehat dengan menerapkan pola makan dengan porsi kecil namun sering.,Health,Ringan
Saya menjaga pola hidup sehat dengan melakukan melakukan meditasi untuk meredakan stres secara teratur.,Health,Berat
"Saya memilih aktivitas yang mendukung kesehatan tubuh, seperti berenang di kolam renang.",Health,Menengah
Saya mengikuti pola hidup sehat dengan melakukan memilih makanan rendah lemak setiap hari.,Health,Berat
Saya menjaga pola tidur yang baik dengan menghindari konsumsi makanan yang mengandung banyak gula.,Health,Menengah
"Saya memilih aktivitas yang mendukung kesehatan tubuh, seperti melakukan meditasi untuk meredakan stres.",Health,Berat
Saya berusaha menjaga kebugaran tubuh dengan mengikuti program memilih makanan rendah lemak.,Health,Menengah
